shot_idx,shot_serial,shot_start_time,GlobalLatticeVariables2.isUnloadReloadBI,GlobalLatticeVariables2.Dmd0SecondPatternFilename,GlobalLatticeVariables2.ThirdDMD1RampPower,GlobalLatticeVariables2.PhysicsSplitXbarRampTime,LocalVariables.ShotTypeID,GlobalLatticeVariables2.BandGapMeasurementModulationFrequency,GlobalLatticeVariables2.UnloadLatticeDMD1Power,GlobalLatticeVariables2.CleanupBandInsulatorGradientRampTime,LocalVariables.DMDID,GlobalLatticeVariables2.LoadingGradientDimpleLoadingPower,GlobalLatticeVariables2.PhysicsSplitRadialLoadingField,LocalVariables.ImagingBlowOutID,LocalVariables.DMDID2,GlobalLatticeVariables2.CleanupBandInsulatorAccordionPower,GlobalLatticeVariables2.FinalStateGradientCurrent,GlobalPulseVariables2.LatticeMicrowaveDuration,GlobalLatticeVariables2.LoadWithDmd1InitialPower,GlobalScienceChamberEvaporationVariables2.AllDipoleEvaporationRedSheetFinalPower,GlobalLatticeVariables2.FourthDMD0RampPower,GlobalLatticeVariables2.SecondDMD1RampPower,GlobalLatticeVariables2.LoadingGradientHighBiasEvaporationDimpleFinalPower,GlobalLatticeVariables2.LoadWithDmd0InitialPower,GlobalLatticeVariables2.LatticeFreezeRampTime,GlobalLatticeVariables2.LatticeDMDPreQuenchHoldTime,GlobalLatticeVariables2.PhysicsSplitYInitialPower,GlobalLatticeVariables2.CleanupBandInsulatorRampTime,GlobalLatticeVariables2.CleanupBandInsulatorGradientCurrent,GlobalLatticeVariables2.CleanupBandInsulatorDmd1Power,GlobalLatticeVariables2.LoadingGradientLatticeHoldingTime,GlobalPulseVariables2.LatticeMicrowaveFrequency,GlobalLatticeVariables2.PhysicsSplitXbarInitialPower,GlobalLatticeVariables2.LoadWithDmd1RampUpTime,LocalVariables.XbarFrequency,LocalVariables.ScanID4
66,66,2025/03/22 21:57:32,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
67,67,2025/03/22 21:57:51,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
68,68,2025/03/22 21:58:10,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
69,69,2025/03/22 21:58:30,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
70,70,2025/03/22 21:58:49,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
71,71,2025/03/22 21:59:08,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
72,72,2025/03/22 21:59:27,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
73,73,2025/03/22 21:59:46,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
74,74,2025/03/22 22:00:05,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
75,75,2025/03/22 22:00:24,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
76,76,2025/03/22 22:00:43,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
77,77,2025/03/22 22:01:02,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
78,78,2025/03/22 22:01:21,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
79,79,2025/03/22 22:01:41,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
80,80,2025/03/22 22:02:00,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
81,81,2025/03/22 22:02:19,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
82,82,2025/03/22 22:02:37,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
83,83,2025/03/22 22:02:57,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
84,84,2025/03/22 22:03:16,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
85,85,2025/03/22 22:03:34,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
86,86,2025/03/22 22:03:53,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
87,87,2025/03/22 22:04:13,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
88,88,2025/03/22 22:04:31,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
89,89,2025/03/22 22:04:50,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
90,90,2025/03/22 22:05:09,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
91,91,2025/03/22 22:05:29,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
92,92,2025/03/22 22:05:48,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
93,93,2025/03/22 22:06:07,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
94,94,2025/03/22 22:06:26,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
95,95,2025/03/22 22:06:45,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
96,96,2025/03/22 22:07:04,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
97,97,2025/03/22 22:07:23,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
98,98,2025/03/22 22:07:42,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
99,99,2025/03/22 22:08:00,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
100,100,2025/03/22 22:08:19,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
101,101,2025/03/22 22:08:38,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
102,102,2025/03/22 22:08:57,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
103,103,2025/03/22 22:09:16,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
104,104,2025/03/22 22:09:35,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
105,105,2025/03/22 22:09:54,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
106,106,2025/03/22 22:10:13,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
107,107,2025/03/22 22:10:32,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
108,108,2025/03/22 22:10:52,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
109,109,2025/03/22 22:11:10,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
110,110,2025/03/22 22:11:30,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
111,111,2025/03/22 22:11:49,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
112,112,2025/03/22 22:12:08,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
113,113,2025/03/22 22:12:27,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
114,114,2025/03/22 22:12:46,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
115,115,2025/03/22 22:13:04,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
116,116,2025/03/22 22:13:23,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
117,117,2025/03/22 22:13:42,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
118,118,2025/03/22 22:14:01,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
119,119,2025/03/22 22:14:20,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
120,120,2025/03/22 22:14:39,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
121,121,2025/03/22 22:14:58,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
122,122,2025/03/22 22:15:17,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
123,123,2025/03/22 22:15:36,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
124,124,2025/03/22 22:15:55,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
125,125,2025/03/22 22:16:13,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
126,126,2025/03/22 22:16:32,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
127,127,2025/03/22 22:16:51,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
128,128,2025/03/22 22:17:10,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
129,129,2025/03/22 22:17:29,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
130,130,2025/03/22 22:17:48,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,4.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
131,131,2025/03/22 22:18:07,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,5.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
132,132,2025/03/22 22:18:26,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,6.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
133,133,2025/03/22 22:18:44,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,7.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
134,134,2025/03/22 22:19:03,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,8.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
135,135,2025/03/22 22:19:22,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,0.0,100.0,14.0,30.0,0.0,18.0,590.0,0.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
136,136,2025/03/22 22:19:40,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,1.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
137,137,2025/03/22 22:19:59,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,2.0,100.0,14.0,30.0,0.0,18.0,590.0,1.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
138,138,2025/03/22 22:20:18,0,b'250316_dmd0_iterative_compensation_pinning.pkl',2.0,100.0,3.0,100.0,14.0,30.0,0.0,18.0,590.0,2.0,0.0,0.975,10.0,1.0,12.0,22.0,7.26,10.0,35.0,28.0,30.0,0.0,163.4945,200.0,93.0,14.0,40.0,228.2,174.746,5.0,773.0,0.0
